"","","tracking sheet 2025
i put everything in here that seems major to me","","","","","","","","","","","","","","","","","","","","","","","",""
"","","K-On!! (+ Plan! & Ura-On!!)","18/07/2025","26-Jul-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Cowboy Bebop","30/06/2025","27-Jul-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Nisemonogatari & Nekomonogatari: Kuro (Rewatch)","22/07/2025","28-Jul-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Metal Gear Solid 4: Guns of the Patriots","23/07/2025","29-Jul-2025","~16h","","","","","","","","","","","","","","","","","","","","",""
"","","Takopi's Original Sin","12/07/2025","1-Aug-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi: When They Cry (Anime)","07/08/2025","9-Aug-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi: When They Cry – Kai (Anime) 
(+ Nekogoroshi-hen & Specials)","10/08/2025","13-Aug-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi: When They Cry – Rei (Anime)","13/08/2025","14-Aug-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi: When They Cry – Kira","14/08/2025","15-Aug-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Higurashi: When They Cry - Outbreak","","15-Aug-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Superman (2025)","","16-Aug-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","K-On! Movie","","23-Aug-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Midori","","26-Aug-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Hunter x Hunter (2011)","28/07/2025","30-Aug-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Girls und Panzer 
(+ This is the Real Anzio Battle! & Specials) ","30/08/2025","1-Sep-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Girls und Panzer der Film (+ Alice War!)","03/09/2025","4-Sep-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Shoujo Ramune (Rewatch?)","","9-Sep-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Dandadan 2nd Season","03/07/2025","22-Sep-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","South Park - Season 27","24/07/2025","25-Sep-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Onimai: I'm Now Your Sister!","10/09/2025","29-Sep-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Yakuza 3 Replay (Normal Difficulty without NG+)","06/10/2025","9-Oct-2025","~13h","","","","","","","","","","","","","","","","","","","","",""
"","","FLCL","10/10/2025","13-Oct-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Nisekoi (+ OVA)","14/10/2025","25-Oct-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Black Bullet","25/10/2025","26-Oct-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Touhou 8: Imperishable Night (Final A 1cc - Normal)","19/01/2025","27-Oct-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","CAUGHT UP WITH ONE PIECE (MANGA)","02/09/2025","30-Oct-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","The Melancholy of Haruhi Suzumiya (Rewatch) (Chronological Order)","06/09/2025","30-Oct-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Touhou 8: Imperishable Night (Final B 1cc - Normal)","27/10/2025","2-Nov-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Another (+ OVA)","31/10/2025","5-Nov-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","The Disappearance of Haruhi Suzumiya (Rewatch)","","8-Nov-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","City The Animation","07/07/2025","10-Nov-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Nisekoi 2nd Season (+ OVA)","06/11/2025","12-Nov-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Akira","","13-Nov-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","The Godfather","","18-Nov-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","The Disappearance of Nagato Yuki-chan (+ OVA)","13/11/2025","19-Nov-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Lucky☆Star (+ OVA)","19/11/2025","26-Nov-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","The Melancholy of Haruhi Suzumiya (Rewatch) (Chronological Order)","27/11/2025","1-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Yakuza (PS2)","24/11/2025","5-Dec-2025","~12h","","","","","","","","","","","","","","","","","","","","",""
"","","Full Metal Panic!","02/12/2025","7-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Chainsaw Man (Rewatch)","","9-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Chainsaw Man – The Movie: Reze Arc","","10-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Metroid Dread","06/12/2025","10-Dec-2025","~15h","","","","","","","","","","","","","","","","","","","","",""
"","","Chainsaw Man – The Movie: Reze Arc (Rewatch)","","11-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Chainsaw Man – The Movie: Reze Arc (Rewatch)","","12-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","My Hero Academia Final Season","05/10/2025","14-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Vinland Saga (Manga)","14/11/2025","14-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","The Melancholy of Haruhi-chan Suzumiya (ONA)","02/12/2025","15-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","South Park - Season 28","16/10/2025","16-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Monogatari Series: Second Season 
& Hanamonogatari (Rewatch)","09/11/2025","17-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Re:ZERO -Starting Life in Another World- (""Rewatch"")","18/12/2025","22-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Pluribus","07/11/2025","24-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Umineko no Naku Koro ni (Question Arcs)","15/08/2025","25-Dec-2025","~113h","","","","","","","","","","","","","","","","","","","","",""
"","","A Silent Voice (Rewatch)","","26-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Re:ZERO -Starting Life in Another World- Memory Snow","","27-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Spy x Family Season 3","07/10/2025","28-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Re:ZERO -Starting Life in Another World- 
The Frozen Bond","","29-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","One Piece (Anime) - Egghead Arc","26/03/2025","29-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Full Metal Panic? Fumoffu","11/12/2025","30-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","Smiling Friends - Season 3","07/10/2025","31-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
"","","One Piece Fan Letter (Rewatch)","","31-Dec-2025","","","","","","","","","","","","","","","","","","","","","",""
